"Pos","Country","Player_Name","Total","WGR_Pts","Pos_Num","Player_ID","Round_Num","Score","Event_Name","Event_ID","Event_Date","Event_Tour_1","Event_Tour_2","Event_Tour_3","Scrape_Date","Round_ID","Primary_Round","Year"
"1","USA","Justin Thomas",278,48,1,"14139",1,67,"Sentry Tournament of Champions",7755,2020-01-05,"PGA Tour",NA,NA,2020-01-28,"7755_1",1,"2020"
"T2","USA","Patrick Reed",278,24,2,"14838",1,72,"Sentry Tournament of Champions",7755,2020-01-05,"PGA Tour",NA,NA,2020-01-28,"7755_1",1,"2020"
"T2","USA","Xander Schauffele",278,24,2,"19895",1,69,"Sentry Tournament of Champions",7755,2020-01-05,"PGA Tour",NA,NA,2020-01-28,"7755_1",1,"2020"
"4","USA","Patrick Cantlay",281,14.4,4,"15466",1,69,"Sentry Tournament of Champions",7755,2020-01-05,"PGA Tour",NA,NA,2020-01-28,"7755_1",1,"2020"
"T5","CHI","Joaquin Niemann",282,10.56,5,"18079",1,66,"Sentry Tournament of Champions",7755,2020-01-05,"PGA Tour",NA,NA,2020-01-28,"7755_1",1,"2020"
"T5","USA","Rickie Fowler",282,10.56,5,"12965",1,68,"Sentry Tournament of Champions",7755,2020-01-05,"PGA Tour",NA,NA,2020-01-28,"7755_1",1,"2020"
"T7","USA","Dustin Johnson",283,7.84,7,"12422",1,72,"Sentry Tournament of Champions",7755,2020-01-05,"PGA Tour",NA,NA,2020-01-28,"7755_1",1,"2020"
"T7","USA","Gary Woodland",283,7.84,7,"12577",1,73,"Sentry Tournament of Champions",7755,2020-01-05,"PGA Tour",NA,NA,2020-01-28,"7755_1",1,"2020"
"T7","USA","Collin Morikawa",283,7.84,7,"22085",1,71,"Sentry Tournament of Champions",7755,2020-01-05,"PGA Tour",NA,NA,2020-01-28,"7755_1",1,"2020"
"10","ESP","Jon Rahm",284,6.72,10,"19195",1,69,"Sentry Tournament of Champions",7755,2020-01-05,"PGA Tour",NA,NA,2020-01-28,"7755_1",1,"2020"
"T11","USA","JT Poston",285,6,11,"21554",1,70,"Sentry Tournament of Champions",7755,2020-01-05,"PGA Tour",NA,NA,2020-01-28,"7755_1",1,"2020"
"T11","USA","Matthew Wolff",285,6,11,"25919",1,69,"Sentry Tournament of Champions",7755,2020-01-05,"PGA Tour",NA,NA,2020-01-28,"7755_1",1,"2020"
"13","USA","Lanto Griffin",286,5.28,13,"15330",1,71,"Sentry Tournament of Champions",7755,2020-01-05,"PGA Tour",NA,NA,2020-01-28,"7755_1",1,"2020"
"T14","USA","Matt Kuchar",288,4.56,14,"6169",1,68,"Sentry Tournament of Champions",7755,2020-01-05,"PGA Tour",NA,NA,2020-01-28,"7755_1",1,"2020"
"T14","USA","Kevin Kisner",288,4.56,14,"11328",1,72,"Sentry Tournament of Champions",7755,2020-01-05,"PGA Tour",NA,NA,2020-01-28,"7755_1",1,"2020"
"T14","USA","Cameron Champ",288,4.56,14,"23542",1,73,"Sentry Tournament of Champions",7755,2020-01-05,"PGA Tour",NA,NA,2020-01-28,"7755_1",1,"2020"
"T17","COL","Juan Sebastian Munoz",289,3.96,17,"20770",1,72,"Sentry Tournament of Champions",7755,2020-01-05,"PGA Tour",NA,NA,2020-01-28,"7755_1",1,"2020"
"T17","USA","Ryan Palmer",289,3.96,17,"7820",1,71,"Sentry Tournament of Champions",7755,2020-01-05,"PGA Tour",NA,NA,2020-01-28,"7755_1",1,"2020"
"T19","ENG","Paul Casey",290,3.24,19,"7108",1,74,"Sentry Tournament of Champions",7755,2020-01-05,"PGA Tour",NA,NA,2020-01-28,"7755_1",1,"2020"
"T19","USA","Nate Lashley",290,3.24,19,"10943",1,71,"Sentry Tournament of Champions",7755,2020-01-05,"PGA Tour",NA,NA,2020-01-28,"7755_1",1,"2020"
"T19","CAN","Corey Conners",290,3.24,19,"17576",1,73,"Sentry Tournament of Champions",7755,2020-01-05,"PGA Tour",NA,NA,2020-01-28,"7755_1",1,"2020"
"T19","USA","Tyler Duncan(Jul1989)",290,3.24,19,"18187",1,69,"Sentry Tournament of Champions",7755,2020-01-05,"PGA Tour",NA,NA,2020-01-28,"7755_1",1,"2020"
"T23","USA","Adam Long",291,2.73,23,"15473",1,74,"Sentry Tournament of Champions",7755,2020-01-05,"PGA Tour",NA,NA,2020-01-28,"7755_1",1,"2020"
"T23","NIR","Graeme McDowell",291,2.73,23,"7548",1,74,"Sentry Tournament of Champions",7755,2020-01-05,"PGA Tour",NA,NA,2020-01-28,"7755_1",1,"2020"
