"Pos","Country","Player_Name","Total","WGR_Pts","Pos_Num","Player_ID","Round_Num","Score","Event_Name","Event_ID","Event_Date","Event_Tour_1","Event_Tour_2","Event_Tour_3","Scrape_Date","Year"
"1","USA","Xander Schauffele",269,56,1,19895,1,72,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-03-13,"2019"
"2","USA","Gary Woodland",270,33.6,2,12577,1,67,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-03-13,"2019"
"3","USA","Justin Thomas",274,22.4,3,14139,1,67,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-03-13,"2019"
"T4","USA","Dustin Johnson",277,13.81333,4,12422,1,67,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-03-13,"2019"
"T4","NIR","Rory McIlroy",277,13.81333,4,10091,1,69,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-03-13,"2019"
"T4","AUS","Marc Leishman",277,13.81333,4,7649,1,68,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-03-13,"2019"
"7","USA","Bryson DeChambeau",278,10.08,7,19841,1,69,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-03-13,"2019"
"T8","ESP","Jon Rahm",279,8.4,8,19195,1,70,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-03-13,"2019"
"T8","USA","Patton Kizzire",279,8.4,8,13470,1,69,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-03-13,"2019"
"T8","USA","Webb Simpson",279,8.4,8,11049,1,70,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-03-13,"2019"
"T11","USA","Kevin Tway",280,7,11,13127,1,66,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-03-13,"2019"
"T11","USA","Cameron Champ",280,7,11,23542,1,71,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-03-13,"2019"
"13","AUS","Jason Day",281,6.16,13,9771,1,69,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-03-13,"2019"
"T14","USA","Charles Howell III",282,5.46,14,6892,1,74,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-03-13,"2019"
"T14","USA","Andrew Putnam",282,5.46,14,14704,1,69,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-03-13,"2019"
"T16","ENG","Paul Casey",283,4.9,16,7108,1,73,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-03-13,"2019"
"T16","USA","Troy Merritt",283,4.9,16,13367,1,73,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-03-13,"2019"
"18","ENG","Ian Poulter",284,4.48,18,1435,1,71,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-03-13,"2019"
"T19","USA","Matt Kuchar",286,3.92,19,6169,1,72,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-03-13,"2019"
"T19","USA","Scott Piercy",286,3.92,19,7899,1,76,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-03-13,"2019"
